"point_id","site_id_anon","index","year","DOY_model","DOY_insitu"
"P0001","S001","EVI","2018","97","108"
"P0002","S001","EVI","2019","103","114"
"P0003","S001","EVI","2020","93","109"
"P0004","S001","EVI","2021","113","125"
"P0005","S001","IRECI","2018","98","108"
"P0006","S001","IRECI","2019","106","114"
"P0007","S001","IRECI","2020","102","109"
"P0008","S001","IRECI","2021","113","125"
"P0009","S001","NDVI","2018","107","108"
"P0010","S001","NDVI","2019","113","114"
"P0011","S001","NDVI","2020","110","109"
"P0012","S001","NDVI","2021","111","125"
"P0013","S002","EVI","2018","120","113"
"P0014","S002","EVI","2019","111","118"
"P0015","S002","EVI","2020","144","116"
"P0016","S002","EVI","2021","148","132"
"P0017","S002","IRECI","2018","120","113"
"P0018","S002","IRECI","2019","126","118"
"P0019","S002","IRECI","2020","137","116"
"P0020","S002","IRECI","2021","147","132"
"P0021","S002","NDVI","2018","117","113"
"P0022","S002","NDVI","2019","126","118"
"P0023","S002","NDVI","2020","150","116"
"P0024","S002","NDVI","2021","147","132"
"P0025","S003","EVI","2018","95","104"
"P0026","S003","EVI","2019","101","118"
"P0027","S003","EVI","2020","106","115"
"P0028","S003","EVI","2021","117","121"
"P0029","S003","IRECI","2018","95","104"
"P0030","S003","IRECI","2019","106","118"
"P0031","S003","IRECI","2020","113","115"
"P0032","S003","IRECI","2021","120","121"
"P0033","S003","NDVI","2018","109","104"
"P0034","S003","NDVI","2019","112","118"
"P0035","S003","NDVI","2020","112","115"
"P0036","S003","NDVI","2021","122","121"
"P0037","S004","EVI","2018","99","103"
"P0038","S004","EVI","2019","95","109"
"P0039","S004","EVI","2020","94","102"
"P0040","S004","EVI","2021","112","115"
"P0041","S004","IRECI","2018","100","103"
"P0042","S004","IRECI","2019","107","109"
"P0043","S004","IRECI","2020","98","102"
"P0044","S004","IRECI","2021","114","115"
"P0045","S004","NDVI","2018","103","103"
"P0046","S004","NDVI","2019","106","109"
"P0047","S004","NDVI","2020","100","102"
"P0048","S004","NDVI","2021","111","115"
"P0049","S005","EVI","2018","90","107"
"P0050","S005","EVI","2019","99","112"
"P0051","S005","EVI","2020","95","113"
"P0052","S005","EVI","2021","104","124"
"P0053","S005","IRECI","2018","92","107"
"P0054","S005","IRECI","2019","98","112"
"P0055","S005","IRECI","2020","105","113"
"P0056","S005","IRECI","2021","107","124"
"P0057","S005","NDVI","2018","99","107"
"P0058","S005","NDVI","2019","109","112"
"P0059","S005","NDVI","2020","114","113"
"P0060","S005","NDVI","2021","118","124"
"P0061","S006","EVI","2018","113","110"
"P0062","S006","EVI","2019","102","102"
"P0063","S006","EVI","2020","95","101"
"P0064","S006","EVI","2021","102","102"
"P0065","S006","IRECI","2018","99","110"
"P0066","S006","IRECI","2019","111","102"
"P0067","S006","IRECI","2020","106","101"
"P0068","S006","IRECI","2021","114","102"
"P0069","S006","NDVI","2018","110","110"
"P0070","S006","NDVI","2019","111","102"
"P0071","S006","NDVI","2020","102","101"
"P0072","S006","NDVI","2021","113","102"
"P0073","S007","EVI","2018","101","118"
"P0074","S007","EVI","2019","105","115"
"P0075","S007","EVI","2020","103","119"
"P0076","S007","EVI","2021","118","106"
"P0077","S007","IRECI","2018","115","118"
"P0078","S007","IRECI","2019","121","115"
"P0079","S007","IRECI","2020","117","119"
"P0080","S007","IRECI","2021","130","106"
"P0081","S007","NDVI","2018","136","118"
