Region,region_id,year,n_pixels,mean_sos,min_pixel_sos,max_pixel_sos,sd_pixel_sos
Sub-Mediterranean,1,2018,3458341,107.7656408086999,50.0,180.0,7.059879332781622
Dinaric,2,2018,11346666,113.81205748014439,50.0,180.0,10.07272835859395
Pohorje,3,2018,1040242,107.5827326718206,50.0,180.0,10.212694601771728
Alpine,4,2018,8208367,115.37489758925253,50.0,180.0,11.29153424121477
Pre-Pannonian,5,2018,6333733,99.48833776226436,50.0,180.0,6.011356980919916
Pre-Dinaric,6,2018,8908411,103.96272275717858,50.0,180.0,6.404199693871607
Pre-Alpine,7,2018,8726768,107.36488892565953,50.0,180.0,8.38469589080731
Sub-Mediterranean,1,2019,3464789,118.8907740125012,50.0,180.0,9.680272213582224
Dinaric,2,2019,11377553,124.10553666504563,51.0,180.0,9.377322253959617
Pohorje,3,2019,1054930,120.15512877631691,50.0,180.0,8.924177590735763
Alpine,4,2019,8339837,124.96519104629982,50.0,180.0,11.381910422492908
Pre-Pannonian,5,2019,6339546,110.02596084956241,50.0,180.0,6.421969713838806
Pre-Dinaric,6,2019,8938050,113.12490789377996,50.0,180.0,6.150285112297579
Pre-Alpine,7,2019,8802219,119.11721317090611,52.0,180.0,7.700640010812992
Sub-Mediterranean,1,2020,3466563,113.92563094915627,51.0,180.0,8.678653548058673
Dinaric,2,2020,11377605,118.29915962102744,50.0,180.0,9.813570559921214
Pohorje,3,2020,1054443,114.55370181223641,59.0,180.0,11.206693034871403
Alpine,4,2020,8333167,120.27531861535957,50.0,180.0,12.540963994471904
Pre-Pannonian,5,2020,6339658,104.43165467285459,50.0,180.0,6.369936623774771
Pre-Dinaric,6,2020,8937280,108.24882067027104,50.0,180.0,7.3700748910139895
Pre-Alpine,7,2020,8811907,114.18287335533614,50.0,180.0,9.361193369565779
Sub-Mediterranean,1,2021,3461293,127.37964714342299,50.0,180.0,7.512430988325174
Dinaric,2,2021,11357541,130.23995449367078,50.0,180.0,8.19866244856136
Pohorje,3,2021,1050727,126.70083380364262,51.0,180.0,9.261499548338097
Alpine,4,2021,8275600,132.4211877084441,50.0,180.0,10.266491483164666
Pre-Pannonian,5,2021,6333883,116.09954525525653,50.0,180.0,6.158273204291408
Pre-Dinaric,6,2021,8915935,117.13787022897766,50.0,180.0,6.162113747217181
Pre-Alpine,7,2021,8770913,123.63184858862469,50.0,180.0,7.953929133733541
